,确诊,疑似,治愈,死亡,重症,疑似增数,确诊增数,治愈增数,死亡增数,重症增数,更新时间值,更新日
0,78959,2308,36219,2791,7952.0,452.0,329.0,3688.0,44.0,-394.0,1582868493399,2020-02-27
41,78630,2358,32598,2747,8346.0,508.0,440.0,2823.0,29.0,-406.0,1582781295469,2020-02-26
90,78190,2491,29869,2718,8752.0,439.0,411.0,2516.0,52.0,-374.0,1582693802014,2020-02-25
153,77779,2824,27448,2666,9126.0,530.0,517.0,2691.0,71.0,-789.0,1582609617258,2020-02-24
194,77262,3434,24758,2595,9915.0,620.0,416.0,1851.0,150.0,-1053.0,1582516967358,2020-02-23
250,77042,4148,23011,2445,10968.0,882.0,650.0,2339.0,97.0,-509.0,1582435996986,2020-02-22
315,76394,5365,20794,2348,11477.0,1361.0,401.0,2515.0,109.0,-156.0,1582351046084,2020-02-21
367,75567,5206,18346,2239,11633.0,1614.0,892.0,2178.0,118.0,-231.0,1582264114492,2020-02-20
429,74676,4922,16286,2121,11864.0,1277.0,400.0,1899.0,115.0,-113.0,1582178214948,2020-02-19
502,74280,5248,14545,2009,11977.0,1185.0,1752.0,1984.0,139.0,236.0,1582091687272,2020-02-18
567,72530,6242,12682,1870,11741.0,1432.0,1893.0,1822.0,98.0,1097.0,1582004306630,2020-02-17
634,70638,7264,11025,1772,10644.0,1563.0,2054.0,1600.0,106.0,-628.0,1581919124072,2020-02-16
693,68584,8228,9545,1666,11272.0,1918.0,2009.0,1444.0,142.0,219.0,1581830115116,2020-02-15
715,66577,8969,8206,1524,11053.0,2277.0,2645.0,1478.0,143.0,849.0,1581746379858,2020-02-14
760,63936,10109,6842,1381,10204.0,2450.0,5097.0,1196.0,121.0,2174.0,1581658388509,2020-02-13
866,59885,16067,5988,1368,8204.0,,,,,,1581572838220,2020-02-12
949,44742,16067,4800,1114,8204.0,3342.0,2034.0,802.0,97.0,871.0,1581486326146,2020-02-11
1040,42714,21675,4022,1017,7333.0,3536.0,2490.0,740.0,108.0,849.0,1581399437760,2020-02-10
1088,40235,23589,3359,909,6484.0,4008.0,3073.0,708.0,97.0,296.0,1581313474992,2020-02-09
1134,37251,28942,2731,812,6188.0,3916.0,2657.0,680.0,89.0,87.0,1581227943210,2020-02-08
1207,34622,27657,2115,723,6101.0,4214.0,3425.0,573.0,86.0,1280.0,1581141121536,2020-02-07
1276,31215,26359,1578,637,4821.0,4833.0,3155.0,425.0,73.0,962.0,1581054075423,2020-02-06
1334,28065,24702,1189,564,3859.0,5328.0,3702.0,297.0,73.0,640.0,1580967016761,2020-02-05
1386,24367,23260,898,492,3219.0,3971.0,3893.0,268.0,67.0,431.0,1580881215806,2020-02-04
1430,20471,23214,657,426,2788.0,5072.0,3235.0,182.0,65.0,492.0,1580795143357,2020-02-03
1481,17238,21558,479,361,2296.0,2014.0,2748.0,45.0,57.0,186.0,1580707140429,2020-02-02
1524,14423,19544,331,304,,,,,,,1580622562040,2020-02-01
1563,11828,17988,245,259,,,,,,,1580535541725,2020-01-31
1592,9731,15238,176,213,,,,,,,1580449067208,2020-01-30
1617,7742,12167,131,170,,,,,,,1580360947604,2020-01-29
1645,6014,9239,109,132,,,,,,,1580277150189,2020-01-28
1681,4474,5794,60,106,,,,,,,1580175075161,2020-01-27
1710,2817,5794,52,81,,,,,,,1580104780435,2020-01-26
1741,2018,2684,49,56,,,,,,,1580017835848,2020-01-25
1769,1330,1965,38,41,,,,,,,1579926559221,2020-01-24
